,baseMean,log2FoldChange,pvalue,padj
FBgn0036106,3.4741673955555936,-2.194575767393779,0.26642311328839613,0.8625172805091849
FBgn0036128,5.4419658142833,2.761158348066303,0.004739999545643582,0.8203349602817668
FBgn0052086,3.6800445522881238,2.5874755127371714,0.18697195480231082,0.8625172805091849
FBgn0036208,7.341511349063896,2.1870777798819954,0.031087995095183747,0.8625172805091849
FBgn0036227,4.192631941545183,-2.032356809973147,0.2907350689443415,0.8625172805091849
FBgn0036232,4.136432621378002,-3.2130151892082144,0.07639103443911412,0.8625172805091849
FBgn0041096,23.78250051638283,-4.293417479866331,0.1143633938112891,0.8625172805091849
FBgn0036242,4.308973763078607,-3.265729055142784,0.15060129740886483,0.8625172805091849
FBgn0036259,9.995510399119123,-2.140185120720592,0.13885781545363696,0.8625172805091849
FBgn0036282,22.93938492362686,-3.408814528495858,0.007355544286141191,0.8625172805091849
FBgn0036319,6.559929502946974,-2.650908075920072,0.340756610814619,0.8625172805091849
FBgn0036377,3.8091119240024742,-2.5960279889096958,0.033716600228978426,0.8625172805091849
FBgn0036381,16.529535314913527,-2.313450939889375,0.20261487431394765,0.8625172805091849
FBgn0036411,11.825007826060151,-3.2849577935447933,0.1362539696824452,0.8625172805091849
FBgn0036447,4.466019123228668,-2.411135037036008,0.41551558140979367,0.8625172805091849
FBgn0036474,39.20268406559117,-2.5471376030095496,0.2366435536677934,0.8625172805091849
FBgn0036479,16.76967089297775,2.201834572674296,0.35434242908856795,0.8625172805091849
FBgn0036494,16.281207825664694,-2.420806046364438,0.24761795692219019,0.8625172805091849
FBgn0036560,9.07548054595347,-2.0835056205712887,0.14330593626228852,0.8625172805091849
FBgn0036568,6.005438215699772,-2.8275250422952,0.1211077456924678,0.8625172805091849
FBgn0036596,5.476374980364741,-3.5792706711091866,0.12420683677734348,0.8625172805091849
FBgn0036712,4.147834835682441,-2.7098388896038235,0.27882817453310693,0.8625172805091849
FBgn0036738,5.514575512178965,-3.5884629205959357,0.2673955375056931,0.8625172805091849
FBgn0052181,3.80403878222775,2.263461465345973,0.3840022003777293,0.8625172805091849
FBgn0261997,9.835854679051009,-3.266516611848348,0.09079864893905039,0.8625172805091849
